pos:C,name:Ozzie Virgil,age:31,games:107,plate_appearances:350,at_bats:320,runs:23,hits:82,doubles:10,triples:0,home_runs:9,runs_batted_in:31,stolen_bases:2,caught_stealing:0,walks:22,strikeouts:54,batting_avg:.256,onbase:.313,slugging:.372,ops:erc">.372,ops+:lugging">.685,bases:119,double_plays:10,hit_by_pitch:5,sac_hits:2,sac_flies:1,intentional_walks:1
pos:1B,name:Gerald Perry,age:27,games:141,plate_appearances:595,at_bats:547,runs:61,hits:164,doubles:29,triples:1,home_runs:8,runs_batted_in:74,stolen_bases:29,caught_stealing:14,walks:36,strikeouts:49,batting_avg:.300,onbase:.338,slugging:.400,ops:erc">.400,ops+:lugging">.739,bases:219,double_plays:18,hit_by_pitch:1,sac_hits:1,sac_flies:10,intentional_walks:9
pos:2B,name:Ron Gant,age:23,games:146,plate_appearances:618,at_bats:563,runs:85,hits:146,doubles:28,triples:8,home_runs:19,runs_batted_in:60,stolen_bases:19,caught_stealing:10,walks:46,strikeouts:118,batting_avg:.259,onbase:.317,slugging:.439,ops:erc">.439,ops+:lugging">.755,bases:247,double_plays:7,hit_by_pitch:3,sac_hits:2,sac_flies:4,intentional_walks:4
pos:SS,name:Andres Thomas,age:24,games:153,plate_appearances:627,at_bats:606,runs:54,hits:153,doubles:22,triples:2,home_runs:13,runs_batted_in:68,stolen_bases:7,caught_stealing:3,walks:14,strikeouts:95,batting_avg:.252,onbase:.268,slugging:.360,ops:erc">.360,ops+:lugging">.628,bases:218,double_plays:17,hit_by_pitch:1,sac_hits:0,sac_flies:6,intentional_walks:6
pos:3B,name:Ken Oberkfell,age:32,games:120,plate_appearances:469,at_bats:422,runs:42,hits:117,doubles:20,triples:4,home_runs:3,runs_batted_in:40,stolen_bases:4,caught_stealing:5,walks:32,strikeouts:28,batting_avg:.277,onbase:.325,slugging:.365,ops:erc">.365,ops+:lugging">.690,bases:154,double_plays:6,hit_by_pitch:2,sac_hits:5,sac_flies:8,intentional_walks:6
pos:LF,name:Dion James,age:25,games:132,plate_appearances:449,at_bats:386,runs:46,hits:99,doubles:17,triples:5,home_runs:3,runs_batted_in:30,stolen_bases:9,caught_stealing:9,walks:58,strikeouts:59,batting_avg:.256,onbase:.353,slugging:.350,ops:erc">.350,ops+:lugging">.703,bases:135,double_plays:12,hit_by_pitch:1,sac_hits:2,sac_flies:2,intentional_walks:5
pos:CF,name:Terry Blocker,age:28,games:66,plate_appearances:210,at_bats:198,runs:13,hits:42,doubles:4,triples:2,home_runs:2,runs_batted_in:10,stolen_bases:1,caught_stealing:1,walks:10,strikeouts:20,batting_avg:.212,onbase:.250,slugging:.283,ops:erc">.283,ops+:lugging">.533,bases:56,double_plays:6,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:3
pos:RF,name:Dale Murphy,age:32,games:156,plate_appearances:671,at_bats:592,runs:77,hits:134,doubles:35,triples:4,home_runs:24,runs_batted_in:77,stolen_bases:3,caught_stealing:5,walks:74,strikeouts:125,batting_avg:.226,onbase:.313,slugging:.421,ops:erc">.421,ops+:lugging">.734,bases:249,double_plays:24,hit_by_pitch:2,sac_hits:0,sac_flies:3,intentional_walks:16
pos:C,name:Bruce Benedict,age:32,games:90,plate_appearances:262,at_bats:236,runs:11,hits:57,doubles:7,triples:0,home_runs:0,runs_batted_in:19,stolen_bases:0,caught_stealing:2,walks:19,strikeouts:26,batting_avg:.242,onbase:.296,slugging:.271,ops:erc">.271,ops+:lugging">.567,bases:64,double_plays:2,hit_by_pitch:0,sac_hits:5,sac_flies:2,intentional_walks:1
pos:CF,name:Albert Hall,age:30,games:85,plate_appearances:257,at_bats:231,runs:27,hits:57,doubles:7,triples:1,home_runs:1,runs_batted_in:15,stolen_bases:15,caught_stealing:10,walks:21,strikeouts:35,batting_avg:.247,onbase:.314,slugging:.299,ops:erc">.299,ops+:lugging">.612,bases:69,double_plays:4,hit_by_pitch:2,sac_hits:2,sac_flies:1,intentional_walks:1
pos:LF,name:Ken Griffey,age:38,games:69,plate_appearances:212,at_bats:193,runs:21,hits:48,doubles:5,triples:0,home_runs:2,runs_batted_in:19,stolen_bases:1,caught_stealing:3,walks:17,strikeouts:26,batting_avg:.249,onbase:.307,slugging:.306,ops:erc">.306,ops+:lugging">.612,bases:59,double_plays:5,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:2
pos:LF,name:Lonnie Smith,age:32,games:43,plate_appearances:125,at_bats:114,runs:14,hits:27,doubles:3,triples:0,home_runs:3,runs_batted_in:9,stolen_bases:4,caught_stealing:2,walks:10,strikeouts:25,batting_avg:.237,onbase:.296,slugging:.342,ops:erc">.342,ops+:lugging">.638,bases:39,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:1B,name:Ted Simmons,age:38,games:78,plate_appearances:123,at_bats:107,runs:6,hits:21,doubles:6,triples:0,home_runs:2,runs_batted_in:11,stolen_bases:0,caught_stealing:0,walks:15,strikeouts:9,batting_avg:.196,onbase:.293,slugging:.308,ops:erc">.308,ops+:lugging">.601,bases:33,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:2
pos:LF,name:Gary Roenicke,age:33,games:49,plate_appearances:122,at_bats:114,runs:11,hits:26,doubles:5,triples:0,home_runs:1,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:8,strikeouts:15,batting_avg:.228,onbase:.279,slugging:.298,ops:erc">.298,ops+:lugging">.577,bases:34,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Jerry Royster,age:35,games:68,plate_appearances:111,at_bats:102,runs:8,hits:18,doubles:3,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:16,batting_avg:.176,onbase:.222,slugging:.206,ops:erc">.206,ops+:lugging">.428,bases:21,double_plays:2,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:1
pos:3B,name:Jim Morrison,age:35,games:51,plate_appearances:105,at_bats:92,runs:6,hits:14,doubles:2,triples:0,home_runs:2,runs_batted_in:13,stolen_bases:0,caught_stealing:1,walks:10,strikeouts:13,batting_avg:.152,onbase:.229,slugging:.239,ops:erc">.239,ops+:lugging">.468,bases:22,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:3,intentional_walks:1
pos:IF,name:Paul Runge,age:30,games:52,plate_appearances:91,at_bats:76,runs:11,hits:16,doubles:5,triples:0,home_runs:0,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:14,strikeouts:21,batting_avg:.211,onbase:.330,slugging:.276,ops:erc">.276,ops+:lugging">.606,bases:21,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:MI,name:Jeff Blauser,age:22,games:18,plate_appearances:74,at_bats:67,runs:7,hits:16,doubles:3,triples:1,home_runs:2,runs_batted_in:7,stolen_bases:0,caught_stealing:1,walks:2,strikeouts:11,batting_avg:.239,onbase:.268,slugging:.403,ops:erc">.403,ops+:lugging">.671,bases:27,double_plays:1,hit_by_pitch:1,sac_hits:3,sac_flies:1,intentional_walks:0
pos:2B,name:Damaso Garcia,age:31,games:21,plate_appearances:64,at_bats:60,runs:3,hits:7,doubles:1,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:1,caught_stealing:0,walks:3,strikeouts:10,batting_avg:.117,onbase:.159,slugging:.183,ops:erc">.183,ops+:lugging">.342,bases:11,double_plays:4,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:2B,name:Mark Lemke,age:22,games:16,plate_appearances:64,at_bats:58,runs:8,hits:13,doubles:4,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:2,walks:4,strikeouts:5,batting_avg:.224,onbase:.274,slugging:.293,ops:erc">.293,ops+:lugging">.567,bases:17,double_plays:1,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:OF,name:Tommy Gregg,age:24,games:11,plate_appearances:31,at_bats:29,runs:1,hits:10,doubles:3,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:2,batting_avg:.345,onbase:.387,slugging:.448,ops:erc">.448,ops+:lugging">.835,bases:13,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:C,name:Jody Davis,age:31,games:2,plate_appearances:8,at_bats:8,runs:2,hits:2,doubles:0,triples:0,home_runs:1,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.250,onbase:.250,slugging:.625,ops:erc">.625,ops+:lugging">.875,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Rick Mahler,age:34,games:39,plate_appearances:84,at_bats:72,runs:3,hits:9,doubles:1,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:20,batting_avg:.125,onbase:.137,slugging:.139,ops:erc">.139,ops+:lugging">.276,bases:10,double_plays:1,hit_by_pitch:1,sac_hits:11,sac_flies:0,intentional_walks:0
pos:P,name:Tom Glavine,age:22,games:42,plate_appearances:71,at_bats:60,runs:6,hits:11,doubles:1,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:15,batting_avg:.183,onbase:.222,slugging:.200,ops:erc">.200,ops+:lugging">.422,bases:12,double_plays:0,hit_by_pitch:0,sac_hits:8,sac_flies:0,intentional_walks:0
pos:P,name:Pete Smith,age:22,games:32,plate_appearances:62,at_bats:53,runs:2,hits:6,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:11,batting_avg:.113,onbase:.130,slugging:.132,ops:erc">.132,ops+:lugging">.262,bases:7,double_plays:1,hit_by_pitch:0,sac_hits:8,sac_flies:0,intentional_walks:0
pos:P,name:Zane Smith,age:27,games:27,plate_appearances:50,at_bats:42,runs:3,hits:7,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:8,batting_avg:.167,onbase:.186,slugging:.190,ops:erc">.190,ops+:lugging">.377,bases:8,double_plays:0,hit_by_pitch:0,sac_hits:7,sac_flies:0,intentional_walks:0
pos:P,name:Kevin Coffman,age:23,games:19,plate_appearances:24,at_bats:22,runs:2,hits:5,doubles:3,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:6,batting_avg:.227,onbase:.261,slugging:.364,ops:erc">.364,ops+:lugging">.625,bases:8,double_plays:0,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:John Smoltz,age:21,games:12,plate_appearances:21,at_bats:17,runs:1,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:8,batting_avg:.118,onbase:.167,slugging:.176,ops:erc">.176,ops+:lugging">.343,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Charlie Puleo,age:33,games:53,plate_appearances:17,at_bats:13,runs:1,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:1,walks:0,strikeouts:5,batting_avg:.231,onbase:.231,slugging:.231,ops:erc">.231,ops+:lugging">.462,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:German Jimenez,age:25,games:15,plate_appearances:17,at_bats:17,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:6,batting_avg:.059,onbase:.059,slugging:.059,ops:erc">.059,ops+:lugging">.118,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jose Alvarez,age:32,games:61,plate_appearances:10,at_bats:8,runs:0,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:0,batting_avg:.375,onbase:.444,slugging:.375,ops:erc">.375,ops+:lugging">.819,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Jim Acker,age:29,games:21,plate_appearances:6,at_bats:5,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:1,batting_avg:.400,onbase:.500,slugging:.400,ops:erc">.400,ops+:lugging">.900,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Juan Eichelberger,age:34,games:20,plate_appearances:4,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.250,slugging:.000,ops:erc">.000,ops+:lugging">.250,bases:0,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Paul Assenmacher,age:27,games:64,plate_appearances:4,at_bats:3,runs:0,hits:1,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.333,onbase:.333,slugging:.667,ops:erc">.667,ops+:lugging">1.000,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Kevin Blankenship,age:25,games:2,plate_appearances:3,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Bruce Sutter,age:35,games:38,plate_appearances:2,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:1,batting_avg:.000,onbase:.500,slugging:.000,ops:erc">.000,ops+:lugging">.500,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Ed Olwine,age:30,games:16,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Joe Boever,age:27,games:16,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Gary Eave,age:24,games:5,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Chuck Cary,age:28,games:7,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
