pos:C,name:Jason Phillips,age:28,games:121,plate_appearances:434,at_bats:399,runs:38,hits:95,doubles:20,triples:0,home_runs:10,runs_batted_in:55,stolen_bases:0,caught_stealing:1,walks:25,strikeouts:50,batting_avg:.238,onbase:.287,slugging:.363,ops:erc">.363,ops+:lugging">.650,bases:145,double_plays:16,hit_by_pitch:4,sac_hits:2,sac_flies:4,intentional_walks:4
pos:1B,name:Hee-Seop Choi,age:26,games:133,plate_appearances:368,at_bats:320,runs:40,hits:81,doubles:15,triples:2,home_runs:15,runs_batted_in:42,stolen_bases:1,caught_stealing:3,walks:34,strikeouts:80,batting_avg:.253,onbase:.336,slugging:.453,ops:erc">.453,ops+:lugging">.789,bases:145,double_plays:10,hit_by_pitch:8,sac_hits:2,sac_flies:4,intentional_walks:1
pos:2B,name:Jeff Kent,age:37,games:149,plate_appearances:637,at_bats:553,runs:100,hits:160,doubles:36,triples:0,home_runs:29,runs_batted_in:105,stolen_bases:6,caught_stealing:2,walks:72,strikeouts:85,batting_avg:.289,onbase:.377,slugging:.512,ops:erc">.512,ops+:lugging">.889,bases:283,double_plays:19,hit_by_pitch:8,sac_hits:0,sac_flies:4,intentional_walks:8
pos:SS,name:Cesar Izturis,age:25,games:106,plate_appearances:478,at_bats:444,runs:48,hits:114,doubles:19,triples:2,home_runs:2,runs_batted_in:31,stolen_bases:8,caught_stealing:8,walks:25,strikeouts:51,batting_avg:.257,onbase:.302,slugging:.322,ops:erc">.322,ops+:lugging">.624,bases:143,double_plays:11,hit_by_pitch:4,sac_hits:4,sac_flies:1,intentional_walks:1
pos:3B,name:Mike Edwards,age:28,games:88,plate_appearances:258,at_bats:239,runs:23,hits:59,doubles:9,triples:2,home_runs:3,runs_batted_in:15,stolen_bases:1,caught_stealing:1,walks:16,strikeouts:34,batting_avg:.247,onbase:.300,slugging:.339,ops:erc">.339,ops+:lugging">.639,bases:81,double_plays:6,hit_by_pitch:2,sac_hits:1,sac_flies:0,intentional_walks:0
pos:LF,name:Ricky Ledee,age:31,games:102,plate_appearances:266,at_bats:237,runs:31,hits:66,doubles:16,triples:1,home_runs:7,runs_batted_in:39,stolen_bases:0,caught_stealing:0,walks:20,strikeouts:55,batting_avg:.278,onbase:.335,slugging:.443,ops:erc">.443,ops+:lugging">.778,bases:105,double_plays:5,hit_by_pitch:3,sac_hits:0,sac_flies:6,intentional_walks:1
pos:CF,name:Milton Bradley,age:27,games:75,plate_appearances:316,at_bats:283,runs:49,hits:82,doubles:14,triples:1,home_runs:13,runs_batted_in:38,stolen_bases:6,caught_stealing:1,walks:25,strikeouts:47,batting_avg:.290,onbase:.350,slugging:.484,ops:erc">.484,ops+:lugging">.835,bases:137,double_plays:6,hit_by_pitch:2,sac_hits:4,sac_flies:1,intentional_walks:1
pos:RF,name:J.D. Drew,age:29,games:72,plate_appearances:311,at_bats:252,runs:48,hits:72,doubles:12,triples:1,home_runs:15,runs_batted_in:36,stolen_bases:1,caught_stealing:1,walks:51,strikeouts:50,batting_avg:.286,onbase:.412,slugging:.520,ops:erc">.520,ops+:lugging">.931,bases:131,double_plays:3,hit_by_pitch:5,sac_hits:0,sac_flies:3,intentional_walks:3
pos:IF,name:Oscar Robles,age:29,games:110,plate_appearances:399,at_bats:364,runs:44,hits:99,doubles:18,triples:1,home_runs:5,runs_batted_in:34,stolen_bases:0,caught_stealing:8,walks:31,strikeouts:33,batting_avg:.272,onbase:.332,slugging:.368,ops:erc">.368,ops+:lugging">.700,bases:134,double_plays:8,hit_by_pitch:2,sac_hits:1,sac_flies:1,intentional_walks:0
pos:OF,name:Jayson Werth,age:26,games:102,plate_appearances:395,at_bats:337,runs:46,hits:79,doubles:22,triples:2,home_runs:7,runs_batted_in:43,stolen_bases:11,caught_stealing:2,walks:48,strikeouts:114,batting_avg:.234,onbase:.338,slugging:.374,ops:erc">.374,ops+:lugging">.711,bases:126,double_plays:10,hit_by_pitch:6,sac_hits:1,sac_flies:3,intentional_walks:2
pos:1B,name:Olmedo Saenz,age:34,games:109,plate_appearances:352,at_bats:319,runs:39,hits:84,doubles:24,triples:0,home_runs:15,runs_batted_in:63,stolen_bases:0,caught_stealing:1,walks:27,strikeouts:63,batting_avg:.263,onbase:.325,slugging:.480,ops:erc">.480,ops+:lugging">.804,bases:153,double_plays:12,hit_by_pitch:3,sac_hits:0,sac_flies:2,intentional_walks:1
pos:OF,name:Jason Repko,age:24,games:129,plate_appearances:301,at_bats:276,runs:43,hits:61,doubles:15,triples:3,home_runs:8,runs_batted_in:30,stolen_bases:5,caught_stealing:0,walks:16,strikeouts:80,batting_avg:.221,onbase:.281,slugging:.384,ops:erc">.384,ops+:lugging">.665,bases:106,double_plays:7,hit_by_pitch:7,sac_hits:2,sac_flies:0,intentional_walks:1
pos:IF,name:Antonio Perez,age:25,games:98,plate_appearances:287,at_bats:259,runs:28,hits:77,doubles:13,triples:2,home_runs:3,runs_batted_in:23,stolen_bases:11,caught_stealing:4,walks:21,strikeouts:61,batting_avg:.297,onbase:.360,slugging:.398,ops:erc">.398,ops+:lugging">.758,bases:103,double_plays:4,hit_by_pitch:5,sac_hits:1,sac_flies:1,intentional_walks:1
pos:C,name:Dioner Navarro,age:21,games:50,plate_appearances:199,at_bats:176,runs:21,hits:48,doubles:9,triples:0,home_runs:3,runs_batted_in:14,stolen_bases:0,caught_stealing:0,walks:20,strikeouts:21,batting_avg:.273,onbase:.354,slugging:.375,ops:erc">.375,ops+:lugging">.729,bases:66,double_plays:3,hit_by_pitch:2,sac_hits:1,sac_flies:0,intentional_walks:1
pos:UT,name:Jose Valentin,age:35,games:56,plate_appearances:184,at_bats:147,runs:17,hits:25,doubles:4,triples:2,home_runs:2,runs_batted_in:14,stolen_bases:3,caught_stealing:1,walks:31,strikeouts:38,batting_avg:.170,onbase:.326,slugging:.265,ops:erc">.265,ops+:lugging">.591,bases:39,double_plays:2,hit_by_pitch:4,sac_hits:0,sac_flies:2,intentional_walks:2
pos:RF,name:Jose Cruz,age:31,games:47,plate_appearances:179,at_bats:156,runs:23,hits:47,doubles:14,triples:2,home_runs:6,runs_batted_in:22,stolen_bases:0,caught_stealing:1,walks:23,strikeouts:43,batting_avg:.301,onbase:.391,slugging:.532,ops:erc">.532,ops+:lugging">.923,bases:83,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:LF,name:Jason Grabowski,age:29,games:65,plate_appearances:124,at_bats:112,runs:14,hits:18,doubles:0,triples:0,home_runs:4,runs_batted_in:12,stolen_bases:1,caught_stealing:0,walks:10,strikeouts:29,batting_avg:.161,onbase:.228,slugging:.268,ops:erc">.268,ops+:lugging">.495,bases:30,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:1
pos:3B,name:Willy Aybar,age:22,games:26,plate_appearances:105,at_bats:86,runs:12,hits:28,doubles:8,triples:0,home_runs:1,runs_batted_in:10,stolen_bases:3,caught_stealing:1,walks:18,strikeouts:11,batting_avg:.326,onbase:.448,slugging:.453,ops:erc">.453,ops+:lugging">.901,bases:39,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Paul Bako,age:33,games:13,plate_appearances:47,at_bats:40,runs:1,hits:10,doubles:2,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:12,batting_avg:.250,onbase:.362,slugging:.300,ops:erc">.300,ops+:lugging">.662,bases:12,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:C,name:Mike Rose,age:28,games:15,plate_appearances:46,at_bats:43,runs:2,hits:9,doubles:2,triples:0,home_runs:1,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:6,batting_avg:.209,onbase:.261,slugging:.326,ops:erc">.326,ops+:lugging">.586,bases:14,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Norihiro Nakamura,age:31,games:17,plate_appearances:41,at_bats:39,runs:1,hits:5,doubles:2,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:7,batting_avg:.128,onbase:.171,slugging:.179,ops:erc">.179,ops+:lugging">.350,bases:7,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:RF,name:Cody Ross,age:24,games:14,plate_appearances:26,at_bats:25,runs:1,hits:4,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:10,batting_avg:.160,onbase:.192,slugging:.200,ops:erc">.200,ops+:lugging">.392,bases:5,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:1B,name:Brian Myrow,age:28,games:19,plate_appearances:25,at_bats:20,runs:2,hits:4,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:8,batting_avg:.200,onbase:.360,slugging:.250,ops:erc">.250,ops+:lugging">.610,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:LF,name:Chin-Feng Chen,age:27,games:7,plate_appearances:8,at_bats:8,runs:1,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.250,onbase:.250,slugging:.250,ops:erc">.250,ops+:lugging">.500,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jeff Weaver,age:28,games:36,plate_appearances:78,at_bats:70,runs:6,hits:16,doubles:2,triples:0,home_runs:0,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:19,batting_avg:.229,onbase:.250,slugging:.257,ops:erc">.257,ops+:lugging">.507,bases:18,double_plays:0,hit_by_pitch:0,sac_hits:6,sac_flies:0,intentional_walks:0
pos:P,name:Derek Lowe,age:32,games:33,plate_appearances:76,at_bats:65,runs:3,hits:10,doubles:2,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:1,caught_stealing:0,walks:2,strikeouts:17,batting_avg:.154,onbase:.179,slugging:.185,ops:erc">.185,ops+:lugging">.364,bases:12,double_plays:2,hit_by_pitch:0,sac_hits:9,sac_flies:0,intentional_walks:0
pos:P,name:Brad Penny,age:27,games:27,plate_appearances:61,at_bats:50,runs:1,hits:8,doubles:3,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:17,batting_avg:.160,onbase:.192,slugging:.220,ops:erc">.220,ops+:lugging">.412,bases:11,double_plays:0,hit_by_pitch:1,sac_hits:9,sac_flies:0,intentional_walks:0
pos:P,name:Odalis Perez,age:27,games:19,plate_appearances:42,at_bats:33,runs:2,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:10,batting_avg:.121,onbase:.147,slugging:.121,ops:erc">.121,ops+:lugging">.268,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:8,sac_flies:0,intentional_walks:0
pos:P,name:D.J. Houlton,age:25,games:34,plate_appearances:35,at_bats:30,runs:1,hits:3,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:18,batting_avg:.100,onbase:.182,slugging:.133,ops:erc">.133,ops+:lugging">.315,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Scott Erickson,age:37,games:17,plate_appearances:14,at_bats:13,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:5,batting_avg:.154,onbase:.154,slugging:.154,ops:erc">.154,ops+:lugging">.308,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Edwin Jackson,age:21,games:10,plate_appearances:11,at_bats:10,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:2,batting_avg:.200,onbase:.273,slugging:.200,ops:erc">.200,ops+:lugging">.473,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Elmer Dessens,age:34,games:27,plate_appearances:10,at_bats:10,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:6,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Derek Thompson,age:24,games:4,plate_appearances:5,at_bats:4,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Duaner Sanchez,age:25,games:75,plate_appearances:4,at_bats:4,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Wilson Alvarez,age:35,games:21,plate_appearances:3,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Franquelis Osoria,age:23,games:22,plate_appearances:3,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Giovanni Carrara,age:37,games:69,plate_appearances:2,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Yhency Brazoban,age:25,games:73,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Kelly Wunsch,age:32,games:44,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Steve Schmoll,age:25,games:48,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Eric Gagne,age:29,games:14,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Hung-Chih Kuo,age:23,games:9,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Buddy Carlyle,age:27,games:10,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jonathan Broxton,age:21,games:14,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
